qid,base_cov,delta,attraction,n_poles,k,pole_baseline,pole_scout,pole_div_only,vendi_k_baseline,vendi_k_scout,d_vendi_k,mpc_baseline,mpc_scout,w_baseline,w_scout,modes_baseline,modes_scout,d_modes
914,0.5,-0.16670000000000001,-0.03531298041343689,36,5,0.4119449555873871,0.3766319751739502,0.4343888461589813,3.034900796413422,2.888059175014496,-0.14684162139892587,0.5374358892440796,0.5653340816497803,109,383,3.0349009037017822,4.602657794952393,1.5677568912506104
1312,0.4,0.4889,-0.06918895244598389,20,3,0.43336138129234314,0.36417242884635925,0.4031701385974884,2.120532512664795,2.3092543721199035,0.18872185945510855,0.6099117994308472,0.5304038524627686,62,279,2.120532512664795,3.7062535285949707,1.5857210159301758
1809,0.375,0.06940000000000002,-0.023107171058654785,20,3,0.4041108787059784,0.3810037076473236,0.42229607701301575,2.6158580780029297,2.4009348273277284,-0.21492325067520124,0.37379375100135803,0.48021337389945984,118,328,2.6158580780029297,5.5877275466918945,2.971869468688965
2026,1.0,-0.5,0.10481739044189453,24,,0.4603613018989563,0.5651786923408508,0.5292223691940308,,,,0.37848034501075745,0.6683176755905151,33,413,1.8583840131759644,3.1615941524505615,1.3032101392745972
2135,0.25,-0.25,0.23135143518447876,20,,0.3923860788345337,0.6237375140190125,0.6270694732666016,,,,0.5155371427536011,0.7022981643676758,32,372,1.7395708560943604,2.5469446182250977,0.8073737621307373
2228,0.6667,0.0,0.0037651658058166504,40,4,0.4689064919948578,0.47267165780067444,0.5019910335540771,3.025862693786621,2.12489994764328,-0.9009627461433412,0.4423782527446747,0.7053971886634827,94,437,3.025862693786621,2.8757307529449463,-0.1501319408416748
2458,0.7273,-0.06059999999999999,0.054660409688949585,20,3,0.2840364873409271,0.3386968970298767,0.35350319743156433,1.9598896503448486,2.0583461463451385,0.09845649600028983,0.6276997327804565,0.566758930683136,63,248,1.9598896503448486,3.3469784259796143,1.3870887756347656
2532,0.4,0.0,0.04639309644699097,20,3,0.3098815381526947,0.35627463459968567,0.3928222954273224,2.4500198364257812,2.1009075045585632,-0.349112331867218,0.4603271484375,0.573444128036499,55,364,2.4500198364257812,4.350959777832031,1.90093994140625
2617,0.2,0.6000000000000001,0.085137739777565,20,3,0.10410165786743164,0.18923939764499664,0.20096299052238464,2.1197102069854736,2.3944103479385377,0.27470014095306405,0.6003301739692688,0.4458639919757843,63,389,2.1197102069854736,5.285858154296875,3.1661479473114014
2831,0.3846,-0.2417,0.06670990586280823,20,4,0.2825242578983307,0.3492341637611389,0.2838295102119446,2.5421040058135986,2.875000202655792,0.3328961968421935,0.581644594669342,0.4981793463230133,84,197,2.5421040058135986,4.1315226554870605,1.589418649673462
